,id,x,y,endX,endY,teamId,playerId,eventType,outcomeType,minute
403,2610540597.0,42.3,86.6,21.0,54.9,167,402664.0,Pass,Successful,28
404,2610540645.0,22.7,53.4,29.2,27.4,167,121774.0,Pass,Successful,28
405,2610540707.0,33.6,26.0,32.7,39.0,167,313171.0,Pass,Successful,28
406,2610540733.0,32.7,39.0,38.0,20.1,167,303139.0,Pass,Successful,28
407,2610540747.0,44.4,15.6,49.1,2.1,167,313171.0,Pass,Successful,28
408,2610540769.0,48.2,3.2,35.1,20.8,167,69778.0,Pass,Successful,28
409,2610540799.0,33.5,22.6,31.9,46.8,167,313171.0,Pass,Successful,28
410,2610540933.0,39.2,58.6,41.6,34.5,167,303139.0,Pass,Successful,28
411,2610540971.0,44.3,32.6,64.8,35.1,167,313171.0,Pass,Successful,29
415,2610541065.0,40.9,63.2,66.7,40.6,32,99487.0,Pass,Unsuccessful,29
416,2610541079.0,31.4,62.7,33.9,54.9,167,402664.0,Pass,Successful,29
418,2610541115.0,32.7,54.7,14.0,55.6,167,303139.0,Pass,Successful,29
419,2610541147.0,14.0,55.6,50.9,100.0,167,121774.0,Pass,Unsuccessful,29
420,2610541509.0,40.5,0.0,37.3,23.5,32,353418.0,Pass,Successful,29
421,2610541529.0,34.5,27.0,30.9,69.5,32,99487.0,Pass,Successful,29
422,2610745385.0,30.9,79.0,27.5,95.7,32,22079.0,Pass,Successful,29
423,2610745415.0,27.5,95.7,16.1,53.9,32,100008.0,Pass,Successful,29
424,2610541545.0,23.5,49.5,30.8,81.9,32,260843.0,Pass,Successful,29
425,2610541557.0,32.5,82.7,33.4,96.1,32,100008.0,Pass,Successful,29
426,2610541581.0,33.5,97.7,37.4,98.0,32,22079.0,Pass,Unsuccessful,29
428,2610541871.0,38.3,100.0,36.9,91.5,32,100008.0,Pass,Successful,30
429,2610541883.0,36.2,91.5,31.1,97.6,32,22079.0,Pass,Successful,30
430,2610541937.0,29.7,95.3,4.2,63.0,32,100008.0,Pass,Successful,30
431,2610542133.0,14.4,54.6,20.9,93.9,32,260843.0,Pass,Successful,30
432,2610542177.0,22.2,94.4,53.6,96.8,32,22079.0,Pass,Unsuccessful,30
434,2610542213.0,46.5,5.1,58.0,5.6,167,69778.0,Pass,Successful,30
